"","Quarter","Week","TemperatureRank","Bike_out","Customer","Daily","Subscriber","Unknown"
"1","3","1","0",0,0,0,0,0
"2","3","1","1",0,0,0,0,0
"3","3","1","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"4","3","1","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"5","3","2","0",0,0,0,0,0
"6","3","2","1",0,0,0,0,0
"7","3","2","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"8","3","2","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"9","3","3","0",0,0,0,0,0
"10","3","3","1",0,0,0,0,0
"11","3","3","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"12","3","3","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"13","3","4","0",0,0,0,0,0
"14","3","4","1",0,0,0,0,0
"15","3","4","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"16","3","4","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"17","3","5","0",0,0,0,0,0
"18","3","5","1",0,0,0,0,0
"19","3","5","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"20","3","5","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"21","3","6","0",0,0,0,0,0
"22","3","6","1",0,0,0,0,0
"23","3","6","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"24","3","6","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"25","3","7","0",0,0,0,0,0
"26","3","7","1",0,0,0,0,0
"27","3","7","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"28","3","7","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"29","3","8","0",0,0,0,0,0
"30","3","8","1",0,0,0,0,0
"31","3","8","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"32","3","8","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"33","3","9","0",0,0,0,0,0
"34","3","9","1",0,0,0,0,0
"35","3","9","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
"36","3","9","3",8.96754098360656,5.66491803278689,0.00918032786885246,2.94196721311475,0.351475409836066
"37","3","10","0",0,0,0,0,0
"38","3","10","1",0,0,0,0,0
"39","3","10","2",7.96322580645161,4.32064516129032,0.00709677419354839,3.32967741935484,0.305806451612903
